ft_cosine_claim_reviewed,ft_cosine_claim_summary,ft_cosine_claim_meta_desc,ft_token_overlap,ft_shared_named_entities,ft_has_negation,ft_has_negation_reviewed,ft_keyword_overlap_kb,ft_keyword_overlap_meta,ft_domain_match,ft_lang_match,ft_has_image,ft_has_video,ft_text_len_summary,ft_text_len_meta,ft_title_match_ratio,ft_contr_nli_claim_reviewed,ft_contr_nli_claim_summary,ft_contr_nli_claim_meta_desc,similarity
0.9117132425308228,0.9005940556526184,0.0,0.3888886728396262,1,1,0,0,0,1,1,1,0,98,1,0.6875,0.021279695,0.00014984873,0.2700112,1
0.8822199702262878,0.8897979259490967,0.8839401006698608,0.3461537130178027,1,1,0,0,0,1,1,0,0,105,25,0.5833333333333333,0.99984753,0.00041775405,6.144189e-05,1
0.7776657938957214,0.825652539730072,0.8310278654098511,0.0,0,1,0,0,0,1,1,1,0,88,44,0.584070796460177,0.00011352448,9.591362e-05,0.96073747,0
0.8589091897010803,0.8320561051368713,0.7680508494377136,0.0799999680000128,1,1,0,0,0,1,0,1,0,86,1,0.6902654867256637,0.0002989401,0.0027113066,0.13473354,1
0.8531359434127808,0.8470395803451538,0.849097490310669,0.07407404663924198,1,1,0,0,0,1,0,1,0,96,53,0.4552845528455285,0.9843705,0.0005550844,0.00014682706,1
0.8060904145240784,0.7781157493591309,0.7953301072120667,0.07692304733728948,1,1,0,0,0,1,0,1,0,92,21,0.453125,0.004699663,4.961468e-05,0.00011132918,0
0.800877034664154,0.7676769495010376,0.8074584007263184,0.033333322222225924,1,1,1,0,0,1,0,1,0,105,27,0.4132231404958677,0.00093047455,0.99387723,0.00017268102,0
0.791169285774231,0.7411599159240723,0.7597113847732544,0.09090904958679565,1,1,0,0,0,1,0,1,0,98,15,0.4,0.9969162,0.99576545,0.9999205,0
0.9047013521194458,0.859837532043457,0.817207932472229,0.49999964285739795,0,1,0,1,0,1,1,1,0,86,27,0.8367346938775511,0.9991177,9.991862e-05,2.2215652e-05,1
0.7897258996963501,0.8152620792388916,0.8302571177482605,0.17241373365043666,0,1,0,0,0,1,1,1,0,77,25,0.6097560975609756,0.4101485,0.005129266,0.13492557,0
0.8734220862388611,0.8684157133102417,0.0,0.2222220987655007,0,1,0,0,0,1,1,1,0,91,1,0.5869565217391304,0.9967127,0.00045781326,0.27282572,1
0.8785775899887085,0.8264594674110413,0.8297796249389648,0.46153810650914884,0,1,0,0,0,1,1,1,0,86,57,0.6326530612244898,0.00016146616,0.9729815,0.99958795,0
0.8773611187934875,0.8413610458374023,0.8566863536834717,0.31818167355378474,0,1,0,0,0,1,1,0,0,99,25,0.5510204081632653,0.9994849,0.0013482284,0.00032555914,1
0.7723524570465088,0.763287365436554,0.7796434164047241,0.055555540123461075,0,1,0,0,0,1,0,0,0,114,1,0.5052631578947369,0.9850523,0.005086995,0.06074369,0
0.7575137615203857,0.7727999091148376,0.7542489767074585,0.0,0,1,0,0,0,1,0,1,1,122,22,0.39583333333333337,0.43264198,5.40815e-05,0.017851278,0
0.8316168189048767,0.811944842338562,0.8499025106430054,0.30769207100609924,0,1,0,0,0,1,1,1,0,98,58,0.673913043478261,0.98841685,0.005926326,0.012598776,0
0.9373337626457214,0.8667428493499756,0.8635891079902649,0.8181810743808415,1,1,0,1,0,1,1,1,0,86,57,1.0,0.9624615,0.0012878714,0.00019890422,1
0.9068953394889832,0.8951601982116699,0.9129845499992371,0.36842085872586383,1,1,0,1,0,1,1,0,0,86,25,0.68,0.998216,0.00013630197,3.284973e-05,1
0.9193663001060486,0.8718070387840271,0.0,0.5384611242606736,1,1,0,0,0,1,1,1,0,86,1,0.9,0.93767744,0.0002938135,0.057740863,1
0.7996943593025208,0.8353371024131775,0.8487940430641174,0.16666661111112963,1,1,0,0,0,1,1,1,0,77,25,0.6216216216216216,0.020872803,0.00091727945,0.0009196319,0
0.8764610290527344,0.8501620292663574,0.8446282148361206,0.46666635555576297,1,1,0,0,0,1,1,1,0,86,27,0.6190476190476191,0.00812926,0.0005319375,1.534574e-05,0
0.8371342420578003,0.8079735040664673,0.8066900968551636,0.09523804988664292,0,1,0,0,0,1,0,1,1,107,36,0.5833333333333333,0.053380787,3.4690354e-05,0.99896455,0
0.8252435326576233,0.8384169936180115,0.8301190733909607,0.2272726239669891,1,1,0,0,0,1,1,1,0,78,35,0.5,0.0016751045,0.0616285,0.00025672076,0
0.8216237425804138,0.8369366526603699,0.8367273807525635,0.2916665451389395,1,1,0,0,0,1,1,0,0,89,24,0.5952380952380952,0.019356959,8.663938e-05,0.53120464,0
0.8479777574539185,0.8224537968635559,0.8456733226776123,0.38461508875762407,0,1,0,0,0,1,1,1,0,98,58,0.72,0.98871636,0.00026372971,0.00018994306,0
0.909984827041626,0.8561266660690308,0.8482053875923157,0.35714260204099857,0,0,0,0,0,1,1,1,0,86,57,0.5416666666666667,4.6109963e-05,0.08643015,0.9999424,1
0.8196366429328918,0.8130582571029663,0.8303881287574768,0.21428563775512938,0,0,0,0,0,1,1,1,0,77,25,0.5625,0.9790567,0.0011296668,0.89401186,0
0.8864367604255676,0.8559930920600891,0.8627969622612,0.31578930747931183,0,0,0,0,0,1,1,0,0,86,25,0.5416666666666667,2.683178e-05,0.0009339231,0.9998783,1
